,road,class_name,spectral_centroid,mfcc_mean,mfcc_var,zcr,leq
109,LIKONI RD (1°17_55_S 36°50_14_E),PSV,2084.42345180709,-4.130740431188921e-08,0.9999999304612478,0.0778215,0.0
110,LIKONI RD (1°17_55_S 36°50_14_E),SUV,2142.095937188779,2.301016621686358e-08,0.9999999552965164,0.07747728,0.0
111,LIKONI RD (1°17_55_S 36°50_14_E),motorcycle,2021.7290671157798,2.4835267472174866e-09,0.9999999701976776,0.071364395,0.0
112,LIKONI RD (1°17_55_S 36°50_14_E),other,1901.9071634814263,-5.544618986164096e-09,1.0000000596046448,0.07127841,0.0
113,LIKONI RD (1°17_55_S 36°50_14_E),pickup,2050.6857607430284,5.211941100924378e-08,1.0,0.075988635,0.0
114,LIKONI RD (1°17_55_S 36°50_14_E),private car,1998.3841690424736,3.814697162596303e-08,0.9999999880790711,0.077845454,0.0
115,MAKONGENI SHOPPINGCTR RUAI(1°16_38_S 37°01_43_E),PSV,1688.0123768841377,-5.8110677208449914e-08,0.9999998807907104,0.07152336,0.0
116,MAKONGENI SHOPPINGCTR RUAI(1°16_38_S 37°01_43_E),SUV,1629.9214967426624,-6.339346899271921e-08,0.9999999006589254,0.08067802,0.0
117,MAKONGENI SHOPPINGCTR RUAI(1°16_38_S 37°01_43_E),bicycle,1427.8266092230758,-5.877295095046975e-08,0.9999998807907104,0.04465909,0.0
118,MAKONGENI SHOPPINGCTR RUAI(1°16_38_S 37°01_43_E),motorcycle,1792.1593765450018,-4.5869113759780785e-09,0.9999998753721063,0.072152376,0.0
119,MAKONGENI SHOPPINGCTR RUAI(1°16_38_S 37°01_43_E),pickup,1657.5168587226628,-4.906986994512863e-08,0.9999999006589254,0.07004924,0.0
120,MAKONGENI SHOPPINGCTR RUAI(1°16_38_S 37°01_43_E),private car,1538.1855067011657,2.2239116631572742e-08,0.9999998807907104,0.06839844,0.0
121,NGONG ROAD (1° 18_ 22_S 36° 44_ 24_E),PSV,2053.42616601025,-1.8452162673638134e-08,0.999999908839955,0.0907647,0.0
122,NGONG ROAD (1° 18_ 22_S 36° 44_ 24_E),SUV,2021.3392957112535,5.693134776306254e-08,0.9999999233654567,0.09510227,0.0
123,NGONG ROAD (1° 18_ 22_S 36° 44_ 24_E),motorcycle,2371.1233581168867,-1.297945185673267e-09,0.9999998970465227,0.1045408,0.0
124,NGONG ROAD (1° 18_ 22_S 36° 44_ 24_E),other,1872.474869882563,-4.019848054426234e-08,0.9999999850988388,0.07221023,0.0
125,NGONG ROAD (1° 18_ 22_S 36° 44_ 24_E),pickup,1706.2606134846296,9.980312576374217e-09,0.9999999403953552,0.07351136,0.0
126,NGONG ROAD (1° 18_ 22_S 36° 44_ 24_E),private car,2089.1607203353383,1.4957867429514368e-08,0.9999999512325634,0.0878843,0.0
127,NORTHERN BYPASS (1°11_50_ S 36°53_57_E),PSV,1581.49394342339,-1.8336845185120054e-08,0.9999998893056598,0.07110714,0.0
128,NORTHERN BYPASS (1°11_50_ S 36°53_57_E),SUV,1704.2891697492078,-2.772315710330986e-10,0.9999998733401299,0.08108665,0.0
129,NORTHERN BYPASS (1°11_50_ S 36°53_57_E),bicycle,1342.609081641396,-5.544618986164096e-09,0.9999998509883881,0.05349432,0.0
130,NORTHERN BYPASS (1°11_50_ S 36°53_57_E),heavy truck,1979.4042776258686,-1.9406163342949867e-08,0.9999998509883881,0.071125,0.0
131,NORTHERN BYPASS (1°11_50_ S 36°53_57_E),motorcycle,2094.917892634386,-5.099069484109415e-09,0.9999999020780835,0.08772727,0.0
132,NORTHERN BYPASS (1°11_50_ S 36°53_57_E),other,1715.5789631583514,-1.045556454114051e-08,0.9999999403953552,0.07356168,0.0
133,NORTHERN BYPASS (1°11_50_ S 36°53_57_E),pickup,2280.6699653212227,2.617059635667829e-08,0.9999998688697815,0.10014318,0.0
134,NORTHERN BYPASS (1°11_50_ S 36°53_57_E),private car,1718.4303637996204,-4.8713430749509305e-08,0.9999999403953552,0.08141639,0.0
135,NORTHERN BYPASS(1°09_38_S 36°55_19_E),PSV,1486.6279209654424,-3.5021193767192924e-08,0.999999874830246,0.060403407,0.0
136,NORTHERN BYPASS(1°09_38_S 36°55_19_E),SUV,1816.377978316979,2.77230913781068e-08,1.0,0.08389205,0.0
137,NORTHERN BYPASS(1°09_38_S 36°55_19_E),bicycle,2787.49447169258,-9.204065776202697e-08,0.9999999403953552,0.08413637,0.0
138,NORTHERN BYPASS(1°09_38_S 36°55_19_E),motorcycle,1705.687663232909,1.76873315105297e-08,0.999999874830246,0.068049714,0.0
139,NORTHERN BYPASS(1°09_38_S 36°55_19_E),other,2330.0827705662914,2.6614165982152826e-08,0.9999999105930328,0.07923864,0.0
140,NORTHERN BYPASS(1°09_38_S 36°55_19_E),pickup,1648.3431466344991,8.377918057078659e-08,0.9999998569488525,0.067061365,0.0
141,NORTHERN BYPASS(1°09_38_S 36°55_19_E),private car,1396.46383539271,6.111681665805174e-09,0.9999998753721063,0.062927686,0.0
142,NYAYO LA RD (1°18_20_ S 36°49_21_E),PSV,2082.033451932524,2.4225715860709968e-08,0.9999999174704919,0.083078235,0.0
143,NYAYO LA RD (1°18_20_ S 36°49_21_E),SUV,2337.1556430474125,3.555486127737595e-08,0.9999998807907104,0.09785511,0.0
